,,,,,,,,,,,,
신분류체계정보 관광타입정보 연계 정의서,,,,,,,,,,,,
,,,,,,,,,,,,
대분류(lclsSystem1),,중분류(lclsSystem2),,소분류 코드(clsSystem3),,관광타입(contenttypeid),,,,,,
대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,국문코드,다국어코드,관광타입명,,관광타입명,국문코드,다국어코드
,,,,LS021200,워터슬레드,28,75,레포츠,,,,
,,,,LS021300,패러세일,28,75,레포츠,,,,
,,,,LS021400,기타수상레저스포츠,28,75,레포츠,,,,
,,LS03,항공레저스포츠,LS030100,스카이다이빙,28,75,레포츠,,,,
,,,,LS030200,초경량비행,28,75,레포츠,,,,
,,,,LS030300,헹글라이딩/패러글라이딩,28,75,레포츠,,,,
,,,,LS030400,열기구,28,75,레포츠,,,,
,,,,LS030500,무인비행장치(드론),28,75,레포츠,,,,
,,,,LS030600,기타항공레저스포츠,28,75,레포츠,,,,
,,LS04,복합레저스포츠,LS040100,복합레저스포츠,28,75,레포츠,,,,
NA,자연관광,NA01,자연경관(산),NA010100,"산, 고개, 오름, 봉우리",12,76,관광지,,,,
,,,,NA010200,숲,12,76,관광지,,,,
,,,,NA010300,폭포,12,76,관광지,,,,
,,,,NA010400,계곡,12,76,관광지,,,,
,,,,NA010500,약수터,12,76,관광지,,,,
,,NA02,자연경관(하천‧해양),NA020100,강,12,76,관광지,,,,
,,,,NA020200,호수,12,76,관광지,,,,
,,,,NA020300,저수지,12,76,관광지,,,,
,,,,NA020400,연못·늪,12,76,관광지,,,,
,,,,NA020500,섬,12,76,관광지,,,,
,,,,NA020600,염전,12,76,관광지,,,,
,,,,NA020700,항구/포구,12,76,관광지,,,,
,,,,NA020800,해안절경,12,76,관광지,,,,
,,,,NA020900,해변. 해수욕장,12,76,관광지,,,,
,,NA03,자연생태,NA030100,동굴,12,76,관광지,,,,
,,,,NA030200,희귀동.식물,12,76,관광지,,,,
,,,,NA030300,기암괴석,12,76,관광지,,,,
